frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,1133.208251953125,-3037.21630859375
116.41532182693481,880.885986328125,-2672.812255859375
135.5307176709175,732.3441162109375,-2412.318603515625
157.7835064381361,611.6461791992188,-2168.837158203125
183.6859155446291,480.1844177246094,-1880.4290771484375
213.8491254299879,382.22698974609375,-1625.115966796875
248.9541657269001,309.82257080078125,-1402.0306396484375
289.83340598642826,241.7300262451172,-1172.695556640625
337.41816878318787,198.41195678710938,-995.3087768554688
392.8143996745348,175.7843017578125,-866.1434936523438
457.30266720056534,155.8749542236328,-745.8489379882812
532.384729012847,142.2648162841797,-644.0028686523438
619.795173406601,140.81689453125,-579.5673828125
721.5538062155247,127.60628509521484,-487.3321838378906
840.0180377066135,121.55619812011719,-420.4558410644531
977.9352694749832,119.0099868774414,-367.50592041015625
1138.4894605726004,114.08234405517578,-312.00994873046875
1325.4117220640182,111.95524597167969,-268.8826904296875
1543.0152416229248,112.16510772705078,-234.4423828125
1796.352444216609,109.18997955322266,-199.9720458984375
2091.2790205329657,103.13531494140625,-166.49830627441406
2434.628549963236,104.77717590332031,-145.69384765625
2834.346378222108,102.02055358886719,-123.28707885742188
3299.6933441609144,100.77778625488281,-105.34783935546875
3841.4436858147383,101.29548645019531,-91.15314483642578
4472.13533334434,101.03641510009766,-78.32731628417969
5206.378409639001,100.28340148925781,-67.04432678222656
6061.163730919361,101.02330017089844,-58.02344512939453
7056.293543428183,100.7424087524414,-49.82037353515625
8214.806439355016,100.51756286621094,-42.76863098144531
9563.524508848786,99.99026489257812,-36.64348220825195
11133.681982755661,99.9525375366211,-31.51531410217285
12961.612083017826,99.89297485351562,-27.06642723083496
15089.66088294983,99.80036163330078,-23.29553985595703
17567.118629813194,99.68852233886719,-19.967164993286133
20451.308228075504,99.61504364013672,-17.161590576171875
23809.028789401054,99.52172088623047,-14.738235473632812
27718.02246570587,99.53073120117188,-12.664444923400879
32268.790528178215,99.51306915283203,-10.863685607910156
37566.73540920019,99.50330352783203,-9.31271743774414
43734.489008784294,99.46693420410156,-7.975213527679443
50914.86964374781,99.45213317871094,-6.867202281951904
59274.14167672396,99.42047882080078,-5.831048011779785
69005.83393871784,99.45018005371094,-4.9952263832092285
80335.30320972204,99.42485809326172,-4.24713659286499
93524.83320981264,99.44024658203125,-3.6131935119628906
108879.87446039915,99.39814758300781,-3.046659231185913
126755.91278821228,99.4103775024414,-2.5688564777374268
147566.8977946043,99.37853240966797,-2.125722646713257
171794.556081295,99.39137268066406,-1.7389237880706787
200000.00949949026,99.35619354248047,-1.4202122688293457
