frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,9252.5576171875,-2557.75244140625
11.041993275284767,9081.3759765625,-2851.862060546875
12.188684195280075,8868.1923828125,-3126.97705078125
13.457611203193665,8741.6689453125,-3241.574462890625
14.860415831208229,8473.466796875,-3589.308837890625
16.408739611506462,8130.708984375,-3871.687744140625
18.114224076271057,7779.36279296875,-4109.73388671875
20.0001522898674,7578.37255859375,-4221.69384765625
22.083986550569534,7126.2041015625,-4472.20751953125
24.383189156651497,6688.7412109375,-4659.96240234375
26.921043172478676,6430.12646484375,-4728.88623046875
29.726652428507805,5869.13427734375,-4859.7568359375
32.817479223012924,5215.02001953125,-4941.34912109375
36.23426891863346,4734.29833984375,-4921.0146484375
40.00612534582615,4468.24560546875,-4899.6923828125
44.173793867230415,3874.372314453125,-4810.01611328125
48.77219907939434,3373.79736328125,-4623.27783203125
53.8479071110487,3153.1328125,-4575.73974609375
59.45330485701561,2665.091796875,-4330.34521484375
65.64659997820854,2199.509765625,-4041.720947265625
72.48017936944962,1875.935791015625,-3795.090576171875
80.02389222383499,1746.6298828125,-3669.482421875
88.35340850055218,1422.314208984375,-3357.0087890625
97.55021892488003,1206.63232421875,-3110.625732421875
107.70745575428009,1099.00048828125,-2961.735107421875
118.91825124621391,897.619873046875,-2685.353759765625
131.29902072250843,724.4302978515625,-2407.069091796875
144.97200027108192,613.5617065429688,-2202.939208984375
160.05942597985268,576.3616943359375,-2104.373046875
176.7242792993784,470.02264404296875,-1870.497802734375
195.12372091412544,402.32781982421875,-1700.568115234375
215.43819457292557,377.35302734375,-1606.060791015625
237.86560632288456,314.4125671386719,-1430.134521484375
262.6271452754736,263.349853515625,-1266.400390625
289.96728360652924,232.57000732421875,-1146.7325439453125
320.15377655625343,230.11256408691406,-1095.5054931640625
353.48348319530487,196.30067443847656,-965.2182006835938
390.28236642479897,178.5608673095703,-874.6945190429688
430.91713450849056,175.72125244140625,-823.8485107421875
475.7777787744999,156.02767944335938,-728.666748046875
525.3066774457693,140.5264129638672,-644.0933837890625
579.9927748739719,132.45608520507812,-582.8251953125
640.3715815395117,138.56301879882812,-558.0676879882812
707.0368155837059,124.77655029296875,-488.29705810546875
780.6462235748768,121.41895294189453,-445.09515380859375
861.91575974226,123.51689147949219,-416.7089538574219
951.64286904037,115.32413482666016,-367.0646057128906
1050.7123079150915,109.52090454101562,-325.4945373535156
1160.0961443036795,107.46310424804688,-295.055908203125
1280.871219933033,115.51470947265625,-283.1935119628906
1414.2133295536041,107.14093780517578,-246.66140747070312
1561.4379663020372,108.01194763183594,-225.473388671875
1723.9945009350777,110.2910385131836,-209.27606201171875
1903.472002595663,105.11764526367188,-184.07334899902344
2101.62834264338,102.10797882080078,-164.06629943847656
2320.4192984849215,101.8719711303711,-148.9552459716797
2561.9869120419025,101.47908020019531,-135.30747985839844
2828.7002351135015,100.79198455810547,-122.29265594482422
3123.184433206916,101.86695098876953,-111.9129867553711
3448.320785537362,103.39541625976562,-102.75322723388672
3807.310713455081,101.09098815917969,-91.64661407470703
4203.664138913155,101.30316162109375,-83.32150268554688
4641.286795958877,101.76748657226562,-75.88156127929688
5124.46858920157,101.60838317871094,-68.69071197509766
5657.953443005681,100.49967193603516,-61.814212799072266
6246.96840532124,100.33441162109375,-55.97519302368164
6897.310959175229,99.93924713134766,-50.525901794433594
7615.354843437672,99.65778350830078,-45.720802307128906
8408.14900584519,99.97334289550781,-41.576087951660156
9283.475810661912,99.6681137084961,-37.58174514770508
10249.926708638668,99.50366973876953,-33.99121856689453
11316.989548504353,99.72918701171875,-30.857351303100586
12495.159171521664,99.71981811523438,-27.93936538696289
13795.960694551468,99.42462158203125,-25.331314086914062
15232.176519930363,99.32618713378906,-22.94015884399414
16817.939467728138,99.3970718383789,-20.76580238342285
18568.75605881214,99.256591796875,-18.765838623046875
20501.85576081276,99.29644775390625,-17.012815475463867
22636.190988123417,99.2657470703125,-15.394441604614258
24992.739781737328,99.20976257324219,-13.8632230758667
27594.598941504955,99.21150970458984,-12.587078094482422
30467.333272099495,99.18498992919922,-11.382231712341309
33639.115281403065,99.18312072753906,-10.316580772399902
37141.12099260092,99.14314270019531,-9.339933395385742
41007.669642567635,99.16117095947266,-8.368706703186035
45276.78247541189,99.1597671508789,-7.57349157333374
49990.29915779829,99.15802001953125,-6.84263801574707
55194.529704749584,99.19660186767578,-6.11065149307251
60940.55715948343,99.15629577636719,-5.53315544128418
67284.74982082844,99.19163513183594,-4.823834419250488
74289.43645209074,99.13367462158203,-4.347504615783691
82023.30209314823,99.06703186035156,-3.9347634315490723
90562.34266608953,99.07699584960938,-3.553846597671509
99990.30735343695,99.08202362060547,-3.1216442584991455
110399.79290217161,99.05327606201172,-2.7207090854644775
121892.89554953574,99.07908630371094,-2.383533477783203
134582.51487463713,99.00834655761719,-2.0902254581451416
148593.21527183056,99.10504150390625,-1.7553575038909912
164062.48323619366,99.03781127929688,-1.4321024417877197
181142.24076271057,99.05813598632812,-1.2264163494110107
200000.00949949026,98.97607421875,-0.8647235631942749
