frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,1394039.5,-205284.046875
116.41532182693481,1049945.375,-88296.4296875
135.5307176709175,981316.625,-51551.3203125
157.7835064381361,835356.3125,-972974.0
183.6859155446291,1086318.875,-195037.3125
213.8491254299879,1060378.875,-11534.7744140625
248.9541657269001,1155214.875,-313084.90625
289.83340598642826,1132013.25,-322833.6875
337.41816878318787,1022922.3125,-301865.6875
392.8143996745348,982859.0,-165824.859375
457.30266720056534,956568.4375,-412264.6875
532.384729012847,879950.6875,-332059.28125
619.795173406601,898784.1875,-525212.125
721.5538062155247,879707.25,-418090.53125
840.0180377066135,789586.75,-420867.96875
977.9352694749832,962690.625,-647169.0
1138.4894605726004,638295.9375,-488707.40625
1325.4117220640182,577756.625,-548308.9375
1543.0152416229248,514199.46875,-546885.1875
1796.352444216609,439738.4375,-497772.875
2091.2790205329657,363687.65625,-501944.65625
2434.628549963236,297114.1875,-472267.03125
2834.346378222108,236892.125,-424310.78125
3299.6933441609144,182187.453125,-396924.78125
3841.4436858147383,148066.375,-362809.8125
4472.13533334434,116621.875,-325191.78125
5206.378409639001,85918.3359375,-283280.59375
6061.163730919361,67666.7890625,-248409.328125
7056.293543428183,50752.18359375,-213404.140625
8214.806439355016,39676.5390625,-193224.78125
9563.524508848786,30188.875,-165534.90625
11133.681982755661,23463.203125,-145102.125
12961.612083017826,18606.669921875,-126193.4140625
15089.66088294983,8316.62890625,-106526.484375
17567.118629813194,10796.859375,-90817.6640625
20451.308228075504,8889.234375,-80495.3828125
23809.028789401054,7152.76220703125,-69552.375
27718.02246570587,5305.78125,-55297.14453125
32268.790528178215,3960.63427734375,-47612.0625
37566.73540920019,3205.083984375,-40799.796875
43734.489008784294,2734.90478515625,-35159.40625
50914.86964374781,2321.083251953125,-30304.38671875
59274.14167672396,2031.9759521484375,-26148.955078125
69005.83393871784,1911.767333984375,-22361.259765625
80335.30320972204,1618.43994140625,-19243.19921875
93524.83320981264,1470.02294921875,-16593.42578125
108879.87446039915,1349.8099365234375,-14368.1123046875
126755.91278821228,1278.2747802734375,-12284.8837890625
147566.8977946043,1259.8389892578125,-10550.6484375
171794.556081295,1164.399169921875,-9133.2265625
200000.00949949026,1157.0487060546875,-7794.5693359375
