frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,1038481.8125,-11220.8720703125
11.041993275284767,1035986.25,-9858.361328125
12.188684195280075,1036945.4375,-2412.343505859375
13.457611203193665,1042324.375,-8495.97265625
14.860415831208229,1050363.625,-12607.2080078125
16.408739611506462,1042661.5625,-16293.8935546875
18.114224076271057,1044598.125,-16888.53515625
20.0001522898674,1052115.75,-11995.8955078125
22.083986550569534,1045491.0,-8636.3505859375
24.383189156651497,1049327.5,-24860.287109375
26.921043172478676,1052542.25,-18730.80078125
29.726652428507805,1055666.5,-27090.9609375
32.817479223012924,1050096.25,8209.02734375
36.23426891863346,1067948.75,-43520.1796875
40.00612534582615,1088099.25,9683.7119140625
44.173793867230415,1054636.375,-106736.9296875
48.77219907939434,1216745.75,-290790.65625
53.8479071110487,1234964.875,-104192.8203125
59.45330485701561,999934.375,-42148.0390625
65.64659997820854,1035230.3125,-44798.53515625
72.48017936944962,1068132.625,-54069.75390625
80.02389222383499,1027061.8125,-48786.1484375
88.35340850055218,1075721.25,-27691.8359375
97.55021892488003,1081950.625,57603.23828125
107.70745575428009,1018099.6875,6106.5439453125
118.91825124621391,1048126.0625,-99876.9296875
131.29902072250843,1012104.875,-76866.6640625
144.97200027108192,1093410.875,-24007.01953125
160.05942597985268,1078731.25,-125022.1484375
176.7242792993784,1043865.9375,-126968.5
195.12372091412544,1044383.1875,-117901.078125
215.43819457292557,999306.875,-143160.25
237.86560632288456,1040442.6875,-161645.125
262.6271452754736,1001002.5625,-203456.796875
289.96728360652924,1002066.5625,-255049.8125
320.15377655625343,935561.875,-237052.40625
353.48348319530487,988041.125,-230723.421875
390.28236642479897,979874.25,-271227.59375
430.91713450849056,952665.5,-296845.59375
475.7777787744999,946667.1875,-298309.09375
525.3066774457693,930754.25,-311109.3125
579.9927748739719,921430.875,-337473.09375
640.3715815395117,916358.0625,-392222.875
707.0368155837059,857874.375,-414834.75
780.6462235748768,797187.375,-419864.28125
861.91575974226,801090.875,-454147.15625
951.64286904037,746933.375,-454444.25
1050.7123079150915,715670.3125,-499442.625
1160.0961443036795,655059.125,-495190.1875
1280.871219933033,595472.875,-499006.34375
1414.2133295536041,582647.5625,-542085.5625
1561.4379663020372,491898.25,-508191.09375
1723.9945009350777,475836.75,-535678.6875
1903.472002595663,406421.625,-497101.875
2101.62834264338,361077.1875,-494506.28125
2320.4192984849215,299307.75,-447665.75
2561.9869120419025,258302.203125,-431093.34375
2828.7002351135015,222009.578125,-407077.1875
3123.184433206916,193247.609375,-386901.71875
3448.320785537362,165336.21875,-365134.3125
3807.310713455081,140800.6875,-338190.875
4203.664138913155,119146.046875,-315562.71875
4641.286795958877,99794.4375,-291553.4375
5124.46858920157,84199.2734375,-269149.71875
5657.953443005681,70586.5234375,-247405.890625
6246.96840532124,59281.62890625,-227357.671875
6897.310959175229,49595.421875,-208574.671875
7615.354843437672,41741.8046875,-190411.890625
8408.14900584519,34868.375,-174179.484375
9283.475810661912,29182.380859375,-158724.9375
10249.926708638668,24449.537109375,-144608.015625
11316.989548504353,20523.962890625,-131712.828125
12495.159171521664,17242.7421875,-119675.5234375
13795.960694551468,14442.0908203125,-108730.4609375
15232.176519930363,12282.388671875,-98822.125
16817.939467728138,10353.033203125,-89798.890625
18568.75605881214,8801.9931640625,-81425.2109375
20501.85576081276,7531.0947265625,-73983.84375
22636.190988123417,6450.93017578125,-67143.4375
24992.739781737328,5554.169921875,-60850.2421875
27594.598941504955,4818.09033203125,-55249.40625
30467.333272099495,4196.67236328125,-50122.0546875
33639.115281403065,3695.51611328125,-45474.578125
37141.12099260092,3259.75,-41203.01171875
41007.669642567635,2908.15380859375,-37380.25
45276.78247541189,2607.517578125,-33887.41796875
49990.29915779829,2384.0546875,-30731.982421875
55194.529704749584,2146.734130859375,-27868.0234375
60940.55715948343,1977.0103759765625,-25276.837890625
67284.74982082844,1833.11572265625,-22917.607421875
74289.43645209074,1706.484130859375,-20779.623046875
82023.30209314823,1604.41357421875,-18835.423828125
90562.34266608953,1518.1512451171875,-17076.640625
99990.30735343695,1438.9713134765625,-15486.4248046875
110399.79290217161,1379.3182373046875,-14036.560546875
121892.89554953574,1319.226806640625,-12733.05859375
134582.51487463713,1277.1240234375,-11539.87109375
148593.21527183056,1239.2117919921875,-10456.7197265625
164062.48323619366,1204.231201171875,-9479.4658203125
181142.24076271057,1170.28173828125,-8595.8544921875
200000.00949949026,1150.956298828125,-7788.54833984375
