frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,847126.375,-431146.5625
114.81461115181446,739250.25,-458776.25
131.82288967072964,529267.375,-446245.96875
151.3573806732893,630102.5625,-514362.15625
173.77897165715694,740001.375,-241024.734375
199.52422007918358,731093.3125,-383099.125
229.08789105713367,577663.625,-380341.90625
263.0287781357765,440858.28125,-362508.96875
301.9929863512516,441854.625,-408181.75
346.737215295434,495807.375,-272547.59375
398.105476051569,332430.5,-499372.21875
457.0872988551855,362100.125,-334376.25
524.8060915619135,244622.578125,-230986.8125
602.5598850101233,179922.578125,-207003.8125
691.8329745531082,129720.2734375,-211927.4375
794.330844655633,158288.484375,-244333.9375
912.00927272439,148808.875,-199339.234375
1047.126716002822,126992.203125,-186847.265625
1202.2617738693953,109095.8125,-156084.65625
1380.3830370306969,60120.375,-132546.125
1584.8956536501646,84143.34375,-126459.4453125
1819.6995370090008,61799.12890625,-98001.5
2089.2941392958164,52549.8125,-88245.125
2398.8308385014534,47249.64453125,-76228.6484375
2754.2293537408113,40982.0703125,-86997.171875
3162.2766982764006,34103.00390625,-80987.546875
3630.778519436717,47471.75390625,-56497.82421875
4168.692976236343,35071.82421875,-51999.07421875
4786.299541592598,36491.1328125,-49326.87890625
5495.408549904823,27963.306640625,-46626.5234375
6309.570744633675,45330.6015625,-25359.52734375
7244.362495839596,28112.810546875,-29988.189453125
8317.636093124747,24766.349609375,-30917.716796875
9549.9271992594,27680.62109375,-23148.669921875
10964.786633849144,27451.9921875,-22460.447265625
12589.246034622192,21433.958984375,-23581.625
14454.405754804611,24895.884765625,-18180.427734375
16595.865599811077,22816.435546875,-16663.63671875
19054.60376292467,21365.3984375,-15967.85546875
21877.605468034744,19996.59765625,-13746.9951171875
25118.86414140463,21555.66796875,-13875.9794921875
28840.312734246254,22658.091796875,-11814.896484375
33113.10429126024,17726.296875,-11854.0224609375
38018.93908530474,19494.05859375,-11571.078125
43651.57801657915,18486.0390625,-9526.078125
50118.728540837765,19256.30078125,-10051.275390625
57544.00044679642,17419.345703125,-9239.36328125
66069.35057789087,16164.9443359375,-8179.29296875
75857.76038467884,15001.388671875,-8490.1337890625
87096.35585546494,15332.6005859375,-7018.3857421875
99999.99310821295,14142.93359375,-8404.9716796875
