frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,238118.40625,-44247.06640625
12.188684195280075,307471.1875,9328.7412109375
14.860415831208229,250359.453125,-18911.03515625
18.114224076271057,267830.15625,-8827.392578125
22.083986550569534,252153.359375,-28107.587890625
26.921043172478676,240709.234375,-8982.4775390625
32.817479223012924,250442.046875,20533.216796875
40.00612534582615,257915.921875,-65075.77734375
48.77219907939434,126006.4453125,-36383.28125
59.45330485701561,247320.0,32385.861328125
72.48017936944962,257333.390625,-8487.2392578125
88.35340850055218,259501.890625,-82932.359375
107.70745575428009,301397.0625,-4718.64306640625
131.29902072250843,222153.3125,-29509.6171875
160.05942597985268,177725.484375,-9363.3779296875
195.12372091412544,202322.90625,-19993.669921875
237.86560632288456,217372.390625,-32912.20703125
289.96728360652924,283759.6875,-22538.6015625
353.48348319530487,243253.046875,-46314.796875
430.91713450849056,257906.875,16193.8046875
525.3066774457693,229917.609375,-18038.669921875
640.3715815395117,267695.625,-31302.37109375
780.6462235748768,208386.875,-16151.283203125
951.64286904037,222256.640625,-42984.4609375
1160.0961443036795,212815.625,-36735.94921875
1414.2133295536041,225517.0,-33989.6328125
1723.9945009350777,203080.59375,-45307.94140625
2101.62834264338,192655.4375,-44978.140625
2561.9869120419025,196818.078125,-45025.92578125
3123.184433206916,185652.265625,-40987.03125
3807.310713455081,183427.578125,-42352.671875
4641.286795958877,178798.609375,-42556.16796875
5657.953443005681,174850.34375,-44668.83203125
6897.310959175229,162338.109375,-47218.015625
8408.14900584519,163856.828125,-46848.2421875
10249.926708638668,154148.640625,-49574.3515625
12495.159171521664,148968.828125,-53980.82421875
15232.176519930363,143695.609375,-57495.7734375
18568.75605881214,134939.875,-55364.16796875
22636.190988123417,125549.8828125,-56848.67578125
27594.598941504955,118474.953125,-60504.51953125
33639.115281403065,108799.8203125,-60612.12109375
41007.669642567635,100178.78125,-60065.3125
49990.29915779829,91746.7890625,-61124.65234375
60940.55715948343,80662.84375,-84982.7109375
74289.43645209074,73247.5078125,-57596.46875
90562.34266608953,83374.609375,-34046.4609375
110399.79290217161,56215.6015625,-56210.55078125
134582.51487463713,47428.62109375,-54414.640625
164062.48323619366,43490.94921875,-49564.52734375
200000.00949949026,31103.92578125,-39427.2578125
