frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,93.56074523925781,-35.11055374145508
116.41532182693481,89.09577941894531,-38.90361785888672
135.5307176709175,85.29572296142578,-41.150325775146484
157.7835064381361,81.37066650390625,-42.569366455078125
183.6859155446291,74.77177429199219,-45.27955627441406
213.8491254299879,67.66804504394531,-46.946170806884766
248.9541657269001,60.59520721435547,-47.40104675292969
289.83340598642826,51.21167755126953,-47.25209426879883
337.41816878318787,43.7968635559082,-45.55266189575195
392.8143996745348,38.7390022277832,-42.89927291870117
457.30266720056534,33.045326232910156,-39.761749267578125
532.384729012847,28.22340202331543,-36.23344421386719
619.795173406601,26.283504486083984,-33.015201568603516
721.5538062155247,22.54448890686035,-29.37223243713379
840.0180377066135,19.690927505493164,-25.88946533203125
977.9352694749832,18.269054412841797,-22.895648956298828
1138.4894605726004,16.862211227416992,-20.01076316833496
1325.4117220640182,16.163724899291992,-17.492191314697266
1543.0152416229248,15.215252876281738,-15.191598892211914
1796.352444216609,14.30908489227295,-13.120855331420898
2091.2790205329657,13.229659080505371,-11.269308090209961
2434.628549963236,12.841609001159668,-9.75619888305664
2834.346378222108,12.412589073181152,-8.391422271728516
3299.6933441609144,12.143750190734863,-7.236276626586914
3841.4436858147383,12.002805709838867,-6.245004177093506
4472.13533334434,11.912516593933105,-5.385594844818115
5206.378409639001,11.776507377624512,-4.642301082611084
6061.163730919361,11.753791809082031,-4.009620189666748
7056.293543428183,11.695197105407715,-3.45737624168396
8214.806439355016,11.633520126342773,-2.9848155975341797
9563.524508848786,11.5662260055542,-2.5759055614471436
11133.681982755661,11.541119575500488,-2.225088596343994
12961.612083017826,11.511368751525879,-1.9224435091018677
15089.66088294983,11.491249084472656,-1.662416696548462
17567.118629813194,11.466205596923828,-1.434205412864685
20451.308228075504,11.443282127380371,-1.2401695251464844
23809.028789401054,11.425091743469238,-1.0689516067504883
27718.02246570587,11.412943840026855,-0.9201703071594238
32268.790528178215,11.397603034973145,-0.7908879518508911
37566.73540920019,11.386902809143066,-0.6773450374603271
43734.489008784294,11.372387886047363,-0.5754087567329407
50914.86964374781,11.363229751586914,-0.4867914617061615
59274.14167672396,11.350838661193848,-0.4012008011341095
69005.83393871784,11.342262268066406,-0.3282514214515686
80335.30320972204,11.333281517028809,-0.25850459933280945
93524.83320981264,11.325979232788086,-0.19344504177570343
108879.87446039915,11.318720817565918,-0.13065077364444733
126755.91278821228,11.311518669128418,-0.06847897917032242
147566.8977946043,11.30349349975586,-0.008728143759071827
171794.556081295,11.297109603881836,0.05351616069674492
200000.00949949026,11.290250778198242,0.11872556805610657
