frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,73071.90625,-47661.83203125
116.41532182693481,64349.06640625,-48966.1484375
135.5307176709175,57742.21875,-50445.890625
157.7835064381361,53091.0,-47956.0
183.6859155446291,43654.0859375,-50052.078125
213.8491254299879,36167.92578125,-47544.6015625
248.9541657269001,29174.791015625,-44585.484375
289.83340598642826,21879.01171875,-41163.609375
337.41816878318787,16106.27734375,-36532.34765625
392.8143996745348,12960.7998046875,-33115.65234375
457.30266720056534,10327.568359375,-29340.98828125
532.384729012847,7984.5927734375,-26137.333984375
619.795173406601,6980.1787109375,-24031.80859375
721.5538062155247,5152.1103515625,-20728.455078125
840.0180377066135,3875.84130859375,-17862.353515625
977.9352694749832,3208.1318359375,-15735.2275390625
1138.4894605726004,2380.43896484375,-13241.302734375
1325.4117220640182,1824.8135986328125,-11238.3984375
1543.0152416229248,1557.51416015625,-9893.466796875
1796.352444216609,1273.39990234375,-8461.7216796875
2091.2790205329657,1032.272216796875,-7105.18115234375
2434.628549963236,966.3659057617188,-6382.01953125
2834.346378222108,828.1385498046875,-5376.27734375
3299.6933441609144,736.157470703125,-4578.14208984375
3841.4436858147383,698.76220703125,-4023.63818359375
4472.13533334434,642.8726196289062,-3415.7119140625
5206.378409639001,606.6343383789062,-2924.36279296875
6061.163730919361,594.0029907226562,-2556.81689453125
7056.293543428183,570.142333984375,-2184.047607421875
8214.806439355016,558.4776000976562,-1885.891845703125
9563.524508848786,547.5142822265625,-1621.809326171875
11133.681982755661,536.9844970703125,-1389.3695068359375
12961.612083017826,533.1322631835938,-1199.873046875
15089.66088294983,527.8568115234375,-1032.8282470703125
17567.118629813194,521.8726806640625,-883.6534423828125
20451.308228075504,518.2058715820312,-759.1102294921875
23809.028789401054,516.1146850585938,-653.1104125976562
27718.02246570587,516.0910034179688,-563.6817626953125
32268.790528178215,513.9536743164062,-484.2925720214844
37566.73540920019,512.2295532226562,-416.070068359375
43734.489008784294,511.49224853515625,-358.1300964355469
50914.86964374781,510.32806396484375,-307.85699462890625
59274.14167672396,509.48773193359375,-264.7516784667969
69005.83393871784,509.214111328125,-227.7952880859375
80335.30320972204,508.86053466796875,-196.3870391845703
93524.83320981264,508.3039245605469,-168.6907196044922
108879.87446039915,507.9272155761719,-144.55296325683594
126755.91278821228,507.1841735839844,-124.68354034423828
147566.8977946043,506.8593444824219,-107.23634338378906
171794.556081295,506.5478515625,-92.54291534423828
200000.00949949026,506.2906494140625,-79.54924011230469
