frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,936431.125,107495.7109375
12.188684195280075,9137.9638671875,504.5238037109375
14.860415831208229,233585.765625,21135.0390625
18.114224076271057,226742.59375,9204.9609375
22.083986550569534,250545.296875,32598.181640625
26.921043172478676,230297.78125,5889.00048828125
32.817479223012924,215601.859375,-7576.9765625
40.00612534582615,272276.96875,18370.5390625
48.77219907939434,201848.734375,-150258.359375
59.45330485701561,204132.078125,6526.3681640625
72.48017936944962,227551.828125,1036.2354736328125
88.35340850055218,277008.3125,-3900.207763671875
107.70745575428009,226030.46875,32235.0390625
131.29902072250843,247657.0625,-26389.68359375
160.05942597985268,233206.015625,-86022.453125
195.12372091412544,253729.953125,-37618.5390625
237.86560632288456,240291.328125,-7327.2431640625
289.96728360652924,213431.8125,-15330.1953125
353.48348319530487,242588.953125,-7508.69482421875
430.91713450849056,223271.890625,-9943.62109375
525.3066774457693,219566.25,-14396.6435546875
640.3715815395117,205431.65625,-29647.576171875
780.6462235748768,218717.5,-25267.609375
951.64286904037,219738.28125,-27277.552734375
1160.0961443036795,207789.359375,-31409.533203125
1414.2133295536041,207626.734375,-39101.0390625
1723.9945009350777,204931.140625,-43635.359375
2101.62834264338,192953.71875,-40817.7734375
2561.9869120419025,187431.0625,-46622.30859375
3123.184433206916,178819.171875,-46525.48828125
3807.310713455081,175199.796875,-46484.74609375
4641.286795958877,170844.609375,-49256.1015625
5657.953443005681,163877.484375,-49241.015625
6897.310959175229,155227.0,-52034.0859375
8408.14900584519,147599.015625,-51819.1015625
10249.926708638668,140082.0,-52472.67578125
12495.159171521664,133569.296875,-53754.85546875
15232.176519930363,127973.28125,-56271.359375
18568.75605881214,118794.3828125,-53314.62109375
22636.190988123417,112269.15625,-54308.9140625
27594.598941504955,104005.828125,-53638.94140625
33639.115281403065,96560.65625,-53597.1875
41007.669642567635,89562.9921875,-52780.33203125
49990.29915779829,81983.578125,-51938.8828125
60940.55715948343,66991.578125,-68238.4140625
74289.43645209074,68170.0390625,-48248.0859375
90562.34266608953,58551.76953125,-31806.396484375
110399.79290217161,53938.6484375,-46413.1328125
134582.51487463713,49347.3671875,-42341.6875
164062.48323619366,43475.3046875,-39254.38671875
200000.00949949026,40625.3046875,-37364.1484375
