frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,428225.375,133377.21875
12.188684195280075,315237.59375,-27325.2109375
14.860415831208229,453762.21875,53470.2734375
18.114224076271057,466907.03125,-15918.384765625
22.083986550569534,479837.1875,116242.421875
26.921043172478676,368085.03125,-4573.11279296875
32.817479223012924,337104.65625,8772.865234375
40.00612534582615,863260.75,93887.078125
48.77219907939434,-109328.78125,-230044.6875
59.45330485701561,268483.71875,130712.5703125
72.48017936944962,428636.78125,60411.75
88.35340850055218,985965.6875,-531484.8125
107.70745575428009,503352.9375,344072.75
131.29902072250843,373780.375,-101782.609375
160.05942597985268,-1707602.375,-3548592.5
195.12372091412544,79887.7890625,158389.140625
237.86560632288456,594169.875,57708.8046875
289.96728360652924,375438.625,45846.515625
353.48348319530487,744725.0,191631.234375
430.91713450849056,516145.0,164955.984375
525.3066774457693,501257.6875,76282.4453125
640.3715815395117,438219.75,-87469.0234375
780.6462235748768,503349.9375,-65123.05078125
951.64286904037,443325.4375,-17325.43359375
1160.0961443036795,472044.625,-79986.0078125
1414.2133295536041,535388.375,-125090.046875
1723.9945009350777,517813.90625,-219334.375
2101.62834264338,400899.5,-159354.34375
2561.9869120419025,394750.78125,-202342.09375
3123.184433206916,358025.625,-182727.265625
3807.310713455081,347025.8125,-179942.421875
4641.286795958877,339579.34375,-188454.390625
5657.953443005681,307106.59375,-175417.84375
6897.310959175229,259533.890625,-175417.078125
8408.14900584519,234189.734375,-171043.1875
10249.926708638668,211246.359375,-165355.890625
12495.159171521664,190795.5,-159800.015625
15232.176519930363,156611.640625,-159309.984375
18568.75605881214,153159.78125,-141029.78125
22636.190988123417,127357.796875,-128588.5
27594.598941504955,107134.703125,-121236.9375
33639.115281403065,96676.328125,-113910.5546875
41007.669642567635,82193.2421875,-105093.2265625
49990.29915779829,65671.2265625,-103408.7421875
60940.55715948343,59538.2734375,-87571.453125
74289.43645209074,47834.43359375,-77130.2890625
90562.34266608953,41937.44921875,-71624.84375
110399.79290217161,37431.69921875,-66738.15625
134582.51487463713,13472.662109375,-61413.9921875
164062.48323619366,24205.103515625,-53306.265625
200000.00949949026,2662.687255859375,-56339.953125
