frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,249927.96875,-51533.12109375
12.188684195280075,305292.84375,-5037.52001953125
14.860415831208229,259789.1875,-36024.40234375
18.114224076271057,260621.015625,-19385.267578125
22.083986550569534,251414.421875,-50127.45703125
26.921043172478676,259015.34375,-10399.2998046875
32.817479223012924,264047.1875,-1698.5682373046875
40.00612534582615,215798.859375,-89639.8984375
48.77219907939434,124097.8828125,-6944.63427734375
59.45330485701561,299548.34375,-17056.203125
72.48017936944962,247638.046875,-70080.09375
88.35340850055218,175464.375,-60321.578125
107.70745575428009,180102.984375,-114670.6171875
131.29902072250843,213977.734375,-65327.66015625
160.05942597985268,1253096.375,132749.984375
195.12372091412544,233725.296875,-73216.3671875
237.86560632288456,176507.890625,-73813.296875
289.96728360652924,214730.625,-66308.9765625
353.48348319530487,142164.828125,-66267.53125
430.91713450849056,189030.703125,-89842.609375
525.3066774457693,145710.65625,-59090.6484375
640.3715815395117,178394.75,-99719.53125
780.6462235748768,129238.625,-46957.75
951.64286904037,107519.59375,-65040.23046875
1160.0961443036795,116755.34375,-57607.50390625
1414.2133295536041,102947.734375,-49202.14453125
1723.9945009350777,100084.15625,-42331.3125
2101.62834264338,97051.40625,-45227.1015625
2561.9869120419025,88995.5703125,-43389.359375
3123.184433206916,85295.1328125,-39954.640625
3807.310713455081,79976.296875,-37919.35546875
4641.286795958877,73078.53125,-33830.22265625
5657.953443005681,69061.0703125,-31615.25
6897.310959175229,68182.7421875,-31196.947265625
8408.14900584519,63749.40234375,-27796.376953125
10249.926708638668,61089.9375,-26098.69921875
12495.159171521664,57605.65625,-23453.4140625
15232.176519930363,55002.19921875,-22590.9453125
18568.75605881214,51445.79296875,-19268.908203125
22636.190988123417,50805.421875,-18995.916015625
27594.598941504955,49424.41796875,-17141.78125
33639.115281403065,47556.01171875,-15441.857421875
41007.669642567635,45809.546875,-14455.994140625
49990.29915779829,43596.75,-13325.34765625
60940.55715948343,41966.05859375,-10981.2763671875
74289.43645209074,42414.0546875,-10141.3984375
90562.34266608953,40624.453125,-10263.70703125
110399.79290217161,39883.19921875,-8990.3486328125
134582.51487463713,38098.28515625,-1684.888427734375
164062.48323619366,40442.32421875,-7979.7158203125
200000.00949949026,36479.94140625,-22924.22265625
